PFA_Name,Population,Area_Sq_Km,IMD_Score,Police_Count,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Crime_Count,C_Prime_i
Avon and Somerset,1319266.0,4666.95,14.83271762291293,3314.0,,,,,9270,7.773109413008351
Bedfordshire,749943.0,1235.46,18.70107243453361,1454.0,,,,,2860,1.5852996569005022
Cambridgeshire,933972.0,3389.6400000000003,16.889645768319845,1707.0,,,,,7390,0.5837204598860053
Cheshire,1139884.0,2346.16,21.082219222355214,2417.0,,,,,7191,-2.046765730567195
Cleveland,600369.0,597.65,32.5954187118782,1504.0,,,,,13964,-17.23049091134058
Cumbria,1532040.0,20303.67,19.77454646881466,1384.0,,,,,13284,0.9944936782234284
Derbyshire,1096526.0,2624.74,19.058655451458723,2123.0,,,,,7734,1.5670065436757739
Devon & Cornwall,1840161.0,10268.31,18.90610246906517,3440.45,,,,,8265,-0.6912886026322869
Dorset,1616848.0,2977.06,17.307959281360848,1404.0,,,,,2466,-1.1976101322569852
Durham,650500.0,2423.3799999999997,27.110972222222223,1400.0,,,,,6426,-0.28404981369328125
Dyfed-Powys,524219.0,10954.32,19.77454646881466,1261.0,,,,,7578,-0.4853876906767388
Essex,1929610.0,3663.97,16.873255417791196,3759.0,,,,,13636,0.28297759423629565
Gloucestershire,669380.0,2652.4500000000003,14.745890520689882,1349.0,,,,,13363,-1.3627063552168561
Greater Manchester,3009664.0,1276.12,28.55290584940613,8111.0,,,,,13111,7.466548103513372
Gwent,601686.0,1551.46,19.77454646881466,1549.0,,,,,10322,-11.967955989034055
Hampshire,2062619.0,4148.23,15.511036548981073,3440.45,,,,,3685,1.5239404186139043
Hertfordshire,1236191.0,1643.07,13.187594610010041,2380.0,,,,,2769,7.134327234357782
Humberside,687131.0,3442.83,23.25808714324263,2284.0,,,,,12583,6.96862807360412
Kent,1931684.0,3738.35,19.73059292484891,4167.0,,,,,8949,1.0211327334407296
Lancashire,1601645.0,3065.88,25.83374116611933,3606.0,,,,,4433,2.099128386496426
Leicestershire,1175364.0,2538.09,13.991039079695973,2267.0,,,,,7311,-4.158628519856325
Lincolnshire,789502.0,5937.35,20.54340787744834,1174.0,,,,,7051,-2.6984534837952867
Merseyside,1475541.0,652.4000000000001,34.86161662460862,4172.0,,,,,8420,17.227215705835622
Metropolitan Police,9089736.0,1572.43,21.21009685731985,32332.0,,,,,3184,-1.41992046687354
Norfolk,940359.0,5383.6900000000005,21.456971890771346,1902.0,,,,,6555,-2.32892770021294
North Wales,697115.0,6153.49,19.77454646881466,1723.0,,,,,5385,-1.0694438155373043
North Yorkshire,844571.0,8309.289999999999,15.858327401073996,1656.0,,,,,14309,-2.7838221303483257
Northamptonshire,2375106.0,6701.4400000000005,19.77454646881466,1463.0,,,,,8396,0.3764906405411252
Northumbria,1509809.0,5560.13,27.345159089408742,3837.0,,,,,13096,2.3785625957203482
Nottinghamshire,1188090.0,2159.45,21.177500263545745,2380.0,,,,,10666,7.09998250597484
South Wales,1363561.0,2077.2799999999997,19.77454646881466,3496.0,,,,,11274,7.817034099768354
South Yorkshire,1430623.0,1551.59,29.115118375911575,3040.0,,,,,4558,3.7543811109946432
Staffordshire,1177578.0,2713.75,18.69330415900793,1998.0,,,,,9849,-0.7887046207572204
Suffolk,1035895.0,5061.04,18.309873320308338,1415.0,,,,,4047,-0.6746498052371408
Surrey,1248649.0,1662.56,10.183314004474717,2344.0,,,,,4747,-6.313926974364047
Sussex,1759789.0,3782.5,17.624294662856723,3230.0,,,,,11167,5.129750160635699
Thames Valley,4376517.0,10435.39,14.463894739937771,4993.0,,,,,11998,-0.22339647969369103
Warwickshire,632207.0,1975.11,15.71920464210027,1131.0,,,,,2189,-0.5951694237540013
West Mercia,1149767.0,5228.22,18.905677761645958,2520.0,,,,,4734,1.6878509503087713
West Midlands,3036605.0,901.63,28.729480479785526,8027.0,,,,,5005,-6.681903623929022
West Yorkshire,2435236.0,2029.21,27.994844721903952,6130.0,,,,,6658,4.567647450295711
Wiltshire,767575.0,3485.5,16.038337958532694,1215.0,,,,,3899,0.5872854439027528
